State,116th Congressional District,2017 NAICS Code,Number_of_Establishments,Employment,Avg_wage
Alabama,1.00,------,16135.00,243986.00,43991.12
Alabama,1.00,11----,135.00,969.00,44814.24
Alabama,1.00,21----,35.00,520.00,88605.77
Alabama,1.00,22----,51.00,1505.00,103132.23
Alabama,1.00,23----,1434.00,17723.00,51586.98
Alabama,1.00,31----,564.00,27031.00,69843.29
Alabama,1.00,42----,854.00,11198.00,59279.60
Alabama,1.00,44----,2767.00,37339.00,28670.91
Alabama,1.00,48----,602.00,12356.00,46491.34
Alabama,1.00,51----,286.00,3774.00,61621.89
Alabama,1.00,52----,1153.00,7528.00,83791.05
Alabama,1.00,53----,928.00,4359.00,41893.55
Alabama,1.00,54----,1424.00,12112.00,64815.31
Alabama,1.00,55----,99.00,3346.00,84932.76
Alabama,1.00,56----,841.00,18582.00,35059.04
Alabama,1.00,61----,149.00,4673.00,33944.36
Alabama,1.00,62----,1449.00,33235.00,47623.59
Alabama,1.00,71----,207.00,3600.00,14958.89
Alabama,1.00,72----,1479.00,32757.00,15963.67
Alabama,1.00,81----,1656.00,11338.00,25771.21
Alabama,1.00,99----,22.00,41.00,11756.10
Alabama,2.00,------,14142.00,218228.00,41230.99
Alabama,2.00,11----,169.00,1919.00,54482.54
Alabama,2.00,21----,19.00,240.00,51170.83
Alabama,2.00,22----,67.00,2705.00,112347.87
Alabama,2.00,23----,1050.00,9865.00,52277.55
Alabama,2.00,31----,492.00,27388.00,46013.03
Alabama,2.00,42----,653.00,11554.00,54394.67
Alabama,2.00,44----,2576.00,31679.00,28800.28
Alabama,2.00,48----,462.00,12662.00,52590.90
Alabama,2.00,51----,268.00,2771.00,49696.14
Alabama,2.00,52----,1077.00,7276.00,66822.98
Alabama,2.00,53----,589.00,2582.00,39853.21
Alabama,2.00,54----,1193.00,9900.00,70669.39
Alabama,2.00,55----,76.00,1901.00,76631.77
Alabama,2.00,56----,623.00,13834.00,27317.33
Alabama,2.00,61----,133.00,3452.00,30580.82
Alabama,2.00,62----,1462.00,37575.00,48094.40
Alabama,2.00,71----,172.00,2459.00,14253.76
Alabama,2.00,72----,1413.00,27696.00,14208.04
Alabama,2.00,81----,1630.00,10744.00,28157.11
Alabama,2.00,99----,18.00,26.00,20807.69
Alabama,3.00,------,11896.00,188103.00,37215.54
Alabama,3.00,11----,131.00,778.00,41628.53
Alabama,3.00,21----,19.00,547.00,69076.78
Alabama,3.00,22----,57.00,1102.00,84328.49
Alabama,3.00,23----,992.00,8212.00,51730.64
Alabama,3.00,31----,552.00,41690.00,50201.73
Alabama,3.00,42----,426.00,6317.00,50776.48
Alabama,3.00,44----,2256.00,29002.00,26812.70
Alabama,3.00,48----,376.00,7433.00,39821.34
Alabama,3.00,51----,202.00,1900.00,46226.32
Alabama,3.00,52----,820.00,4585.00,61144.17
Alabama,3.00,53----,520.00,2188.00,41808.96
Alabama,3.00,54----,895.00,5683.00,47134.96
Alabama,3.00,55----,43.00,499.00,61134.27
Alabama,3.00,56----,562.00,12335.00,26138.14
Alabama,3.00,61----,84.00,3168.00,28704.55
Alabama,3.00,62----,1203.00,27639.00,42542.78
Alabama,3.00,71----,109.00,1516.00,23306.73
Alabama,3.00,72----,1249.00,25754.00,13943.89
Alabama,3.00,81----,1377.00,7735.00,23660.37
Alabama,3.00,99----,23.00,20.00,24350.00
Alabama,4.00,------,12537.00,198766.00,38010.28
Alabama,4.00,11----,109.00,745.00,36575.84
Alabama,4.00,21----,47.00,2153.00,77866.70
Alabama,4.00,22----,48.00,1138.00,97504.39
Alabama,4.00,23----,950.00,8488.00,49720.55
Alabama,4.00,31----,755.00,56316.00,41464.47
Alabama,4.00,42----,562.00,7354.00,49154.34
Alabama,4.00,44----,2468.00,27508.00,28603.02
Alabama,4.00,48----,463.00,6065.00,46225.56
Alabama,4.00,51----,184.00,2151.00,55476.52
Alabama,4.00,52----,966.00,5940.00,55127.78
Alabama,4.00,53----,425.00,1853.00,33461.41
Alabama,4.00,54----,805.00,3985.00,46494.60
Alabama,4.00,55----,65.00,3107.00,75383.65
Alabama,4.00,56----,448.00,10952.00,27284.15
Alabama,4.00,61----,63.00,714.00,21719.89
Alabama,4.00,62----,1508.00,31370.00,42347.75
Alabama,4.00,71----,134.00,1180.00,17269.49
Alabama,4.00,72----,1097.00,19745.00,14059.76
Alabama,4.00,81----,1415.00,7979.00,24301.54
Alabama,4.00,99----,25.00,23.00,23869.57
Alabama,5.00,------,15508.00,284681.00,52694.44
Alabama,5.00,11----,37.00,203.00,42724.14
Alabama,5.00,21----,19.00,370.00,57608.11
